"StudyArea" "YearsDivided" "Habitat" "lat" "lon"
"240" "Terschelling" "1961 - 1980 " "Saltmarch" 53.36444 5.18588
"241" "Terschelling" "1937 - 1960" "Grassland (not salty)" 53.3997 5.21432
"242" "Terschelling" "1961 - 1980 " "Marsh" 53.4088 5.4248
"243" "Terschelling" "1981 - 2000 " "Open water" 53.3817 5.19937
"244" "Terschelling" "1937 - 1960" "Saltmarch" 53.4088 5.4248
"245" "Terschelling" "1937 - 1960" "Wet pionier environment" 53.4088 5.4248
"246" "Terschelling" "1961 - 1980 " "Saltmarch" 53.35477 5.2145
"247" "Terschelling" "1981 - 2000 " "Wet pionier environment" 53.41194 5.33082
"248" "Terschelling" "2001 - 2013" "Heathland" 53.39103 5.26599
"249" "Terschelling" "1937 - 1960" "Grassland (not salty)" 53.40866 5.19925
"250" "Terschelling" "1981 - 2000 " "Heathland" 53.4088 5.39473
"251" "Terschelling" "1961 - 1980 " "Saltmarch" 53.4088 5.4248
"252" "Terschelling" "1961 - 1980 " "Saltmarch" 53.40451 5.42435
"253" "Terschelling" "1937 - 1960" "Grassland (not salty)" 53.40875 5.27443
"254" "Terschelling" "2001 - 2013" "Forest" 53.4079 5.40988
"255" "Terschelling" "1981 - 2000 " "Marsh" 53.38452 5.26029
"256" "Terschelling" "1981 - 2000 " "Heathland" 53.39867 5.30084
"257" "Terschelling" "1961 - 1980 " "Open water" 53.4088 5.34962
"258" "Terschelling" "1981 - 2000 " "Grassland (not salty)" 53.39037 5.26929
"259" "Terschelling" "1961 - 1980 " "Saltmarch" 53.4088 5.4248
"260" "Terschelling" "1981 - 2000 " "Grassland (not salty)" 53.36389 5.2005
"261" "Terschelling" "1981 - 2000 " "Marsh" 53.39978 5.28949
"262" "Terschelling" "1961 - 1980 " "Open water" 53.39071 5.21436
"263" "Terschelling" "1961 - 1980 " "Grassland (not salty)" 53.42004 5.39849
"264" "Terschelling" "1961 - 1980 " "Marsh" 53.38293 5.21041
"265" "Terschelling" "1961 - 1980 " "Wet pionier environment" 53.4088 5.34962
"266" "Terschelling" "1981 - 2000 " "Grassland (not salty)" 53.42677 5.40977
"267" "Terschelling" "2001 - 2013" "Saltmarch" 53.42636 5.43569
"268" "Terschelling" "1961 - 1980 " "Grassland (not salty)" 53.36376 5.21447
"269" "Terschelling" "1937 - 1960" "Heathland" 53.4088 5.40976
"270" "Terschelling" "1981 - 2000 " "Grassland (not salty)" 53.36373 5.19944
"271" "Terschelling" "1981 - 2000 " "Open water" 53.36383 5.27455
"272" "Terschelling" "1981 - 2000 " "Fringes & tall forb vegetation" 53.3908 5.28951
"273" "Terschelling" "1937 - 1960" "Wet pionier environment" 53.4088 5.34962
"274" "Terschelling" "1981 - 2000 " "Marsh" 53.39824 5.23034
"275" "Terschelling" "1961 - 1980 " "Saltmarch" 53.40879 5.43984
"276" "Terschelling" "1981 - 2000 " "Saltmarch" 53.40878 5.46991
"277" "Terschelling" "1981 - 2000 " "Grassland (not salty)" 53.4088 5.34962
"278" "Terschelling" "1937 - 1960" "Grassland (not salty)" 53.3997 5.21432
"279" "Terschelling" "1937 - 1960" "Heathland" 53.4088 5.4248
"280" "Terschelling" "1961 - 1980 " "Grassland (not salty)" 53.4088 5.4248
"281" "Terschelling" "1981 - 2000 " "Saltmarch" 53.42639 5.45603
"282" "Terschelling" "1981 - 2000 " "Saltmarch" 53.36373 5.19944
"283" "Terschelling" "1981 - 2000 " "Marsh" 53.39228 5.21052
"284" "Terschelling" "1981 - 2000 " "Heathland" 53.39605 5.28551
"285" "Terschelling" "1981 - 2000 " "Saltmarch" 53.41721 5.47047
"286" "Terschelling" "1937 - 1960" "Grassland (not salty)" 53.3998 5.31956
"287" "Terschelling" "1961 - 1980 " "Saltmarch" 53.4088 5.4248
"288" "Terschelling" "1937 - 1960" "Wet pionier environment" 53.39974 5.24439
"289" "Terschelling" "2001 - 2013" "Grassland (not salty)" 53.40446 5.36631
"290" "Terschelling" "1961 - 1980 " "Saltmarch" 53.4088 5.4248
"291" "Terschelling" "1981 - 2000 " "Heathland" 53.41011 5.39811
"292" "Terschelling" "1937 - 1960" "Wet pionier environment" 53.39071 5.21436
"293" "Terschelling" "1937 - 1960" "Grassland (not salty)" 53.39974 5.24439
"294" "Terschelling" "1981 - 2000 " "Wet pionier environment" 53.35939 5.207
"295" "Terschelling" "1961 - 1980 " "Wet pionier environment" 53.4088 5.4248
"296" "Terschelling" "1981 - 2000 " "Grassland (not salty)" 53.41154 5.41059
"297" "Terschelling" "1961 - 1980 " "Heathland" 53.4088 5.4248
"298" "Terschelling" "1981 - 2000 " "Wet pionier environment" 53.40937 5.32638
"299" "Terschelling" "1981 - 2000 " "Heathland" 53.4088 5.39473
"300" "Terschelling" "1961 - 1980 " "Open water" 53.36373 5.19944
"301" "Terschelling" "1981 - 2000 " "Saltmarch" 53.41776 5.46993
"302" "Terschelling" "1981 - 2000 " "Heathland" 53.4088 5.39473
"303" "Terschelling" "1981 - 2000 " "Grassland (not salty)" 53.36377 5.19426
"304" "Terschelling" "1981 - 2000 " "Saltmarch" 53.36409 5.18637
"305" "Terschelling" "2001 - 2013" "Saltmarch" 53.43603 5.5089
"306" "Terschelling" "1981 - 2000 " "Heathland" 53.4088 5.39473
"307" "Terschelling" "1981 - 2000 " "Wet pionier environment" 53.39424 5.27004
"308" "Terschelling" "1937 - 1960" "Heathland" 53.4084 5.38653
"309" "Terschelling" "2001 - 2013" "Saltmarch" 53.40692 5.43857
"310" "Terschelling" "1961 - 1980 " "Heathland" 53.42677 5.40977
"311" "Terschelling" "2001 - 2013" "Grassland (not salty)" 53.39238 5.24004
"312" "Terschelling" "1937 - 1960" "Open water" 53.40875 5.27443
"313" "Terschelling" "1981 - 2000 " "Wet pionier environment" 53.36373 5.19944
"314" "Terschelling" "2001 - 2013" "Wet pionier environment" 53.39658 5.25375
"315" "Terschelling" "1961 - 1980 " "Grassland (not salty)" 53.42093 5.39999
"316" "Terschelling" "2001 - 2013" "Marsh" 53.36961 5.18449
"317" "Terschelling" "2001 - 2013" "Grassland (not salty)" 53.35891 5.20591
"318" "Terschelling" "1961 - 1980 " "Grassland (not salty)" 53.42188 5.39932
"319" "Terschelling" "1981 - 2000 " "Wet pionier environment" 53.4088 5.34962
"320" "Terschelling" "1981 - 2000 " "Heathland" 53.39078 5.27448
"321" "Terschelling" "1981 - 2000 " "Grassland (not salty)" 53.39574 5.25049
"322" "Terschelling" "1961 - 1980 " "Marsh" 53.36061 5.19728
"323" "Terschelling" "1981 - 2000 " "Grassland (not salty)" 53.38178 5.25948
"324" "Terschelling" "1961 - 1980 " "Grassland (not salty)" 53.4088 5.34962
"325" "Terschelling" "1937 - 1960" "Dry disturbed environment" 53.4088 5.34962
"326" "Terschelling" "2001 - 2013" "Heathland" 53.40881 5.33491
