season,pop,quadrat,fullName,prevNum,num,mark_cell,DNA sample,clusterLength,clusterWidth,nRosettes,nLeaves,lengthLongestLeaf,nInfl,lengthInfl,nSiliques,lengthLongestSilique,comments
spring2022,laerdal,5,laerdal5,,15,3A,,,,1,9,0.8,0,,,,
spring2022,saebo,1,saebo1,,3,5D,,,,1,9,0.8,1,18,,,
spring2022,saebo,2,saebo2,,3,P,24,2.5,1,2,20,0.8,3,10.5,,,
spring2022,saebo,3,saebo3,,1,G,25,2.5,1.5,2,22,0.8,0,,,,
spring2022,saebo,3,saebo3,,18,5A,,,,1,4,0.8,0,,,,
spring2022,saebo,5,saebo5,,4,4B,,1.5,1.3,2,15,0.8,0,,,,
spring2022,saebo,6,saebo6,,7,5B,,2.8,2.7,4,25,0.8,0,,,,
spring2022,saebo,7,saebo7,,3,2C,,3.2,1.5,3,4,0.8,6,20,,,
spring2022,saebo,8,saebo8,,3,2C,,,,1,24,0.8,0,,,,
spring2022,saebo,9,saebo9,,1,P,37,2.3,2,3,26,0.8,2,20,,,
spring2022,saebo,9,saebo9,,2,G,,2.8,2.4,2,15,0.8,1,10,,,
spring2022,saebo,9,saebo9,,6,1C,,2.2,1.5,3,27,0.8,2,16,,,
spring2022,hjelle,3,hjelle3,,36,5C,,,,1,5,0.8,0,,,,
spring2022,hjelle,4,hjelle4,,3,2A,,,,1,4,0.8,0,,,,
spring2022,hjelle,4,hjelle4,,14,1D,,,,1,5,0.8,0,,,,
spring2022,hjelle,5,hjelle5,,3,,,,,1,15,0.8,0,,,,
spring2022,hjelle,5,hjelle5,,16,,,,,1,7,0.8,0,,,,
spring2022,hjelle,5,hjelle5,,19,,,,,1,5,0.8,0,,,,
spring2022,hjelle,5,hjelle5,,21,,,,,1,10,0.8,0,,,,
spring2022,hjelle,5,hjelle5,,29,,,,,1,8,0.8,1,17.5,,,
spring2022,hjelle,5,hjelle5,,33,,,,,1,8,0.8,0,,,,
spring2022,hjelle,6,hjelle6,,19,3E,,,,1,10,0.8,1,11,,,
spring2022,hjelle,7,hjelle7,,2,1D,,1.7,1,2,16,0.8,0,0,,,
spring2022,hjelle,9,hjelle9,,11,3C,,,,1,14,0.8,0,,,,
spring2022,ardal,2,ardal2,,2,G,,,,1,6,0.8,0,,,,
spring2022,ardal,2,ardal2,,6,2E,,,,1,10,0.8,0,,,,
spring2022,ardal,4,ardal4,,2,3B,,,,1,5,0.8,0,,,,
spring2022,ardal,6,ardal6,,3,3A,,,,1,20,0.8,4,21,,,
spring2022,ardal,6,ardal6,,29,1E,,,,1,20,0.8,0,,,,
spring2022,helin,3,helin3,,6,2E,,1.7,1.6,2,30,0.8,0,,,,
spring2022,helin,3,helin3,,14,5B,,,,1,8,0.8,0,,,,
spring2022,helin,5,helin5,,15,4C,,,,1,6,0.8,0,,,,
spring2022,helin,5,helin5,,19,5E,,1.3,1.7,2,18,0.8,0,,,,
spring2022,helin,7,helin7,,6,3B,,,,1,17,0.8,1,4,,,
spring2022,helin,7,helin7,,14,3D,,,,1,17,0.8,2,1.4,,,
spring2022,helin,7,helin7,,19,5D,,,,1,10,0.8,0,,,,
spring2022,helin,8,helin8,,3,3C,,,,1,8,0.8,0,,,,
spring2022,smadalen,1,smadalen1,,4,3D,,,,1,7,0.8,0,,,,
spring2022,smadalen,2,smadalen2,,8,4C,,2.2,1.8,5,36,0.8,0,,,,
spring2022,smadalen,2,smadalen2,,11,4C,,,,1,4,0.8,0,,,,
spring2022,smadalen,2,smadalen2,,14,3D,,1.8,1,3,21,0.8,0,,,,
spring2022,smadalen,5,smadalen5,,8,4E,,1.7,1.3,2,20,0.8,1,3.5,,,
spring2022,smadalen,5,smadalen5,,11,5A,,1.9,1.5,2,31,0.8,1,1.7,,,
spring2022,smadalen,6,smadalen6,,11,2B,,,,1,11,0.8,0,,,,
spring2022,smadalen,7,smadalen7,,3,P,114,2.5,1.5,2,28,0.8,0,,,,
spring2022,smadalen,9,smadalen9,,1,G,117,5,4.5,7,85,0.8,10,9.5,,,
spring2022,smadalen,10,smadalen10,,1,P,,,,1,14,0.8,1,6,,,
spring2022,spiterstulen,2,spiterstulen2,,1,2A,,,,1,10,0.8,,,,,
spring2022,spiterstulen,2,spiterstulen2,,4,2A,,1.6,1.4,2,19,0.8,6.5,,,,
spring2022,laerdal,5,laerdal5,,6,4A,,,,1,6,0.7,0,,,,
spring2022,saebo,2,saebo2,,5,5C,,,,1,6,0.7,0,,,,
spring2022,saebo,3,saebo3,,15,2C,,,,1,8,0.7,0,,,,
spring2022,saebo,6,saebo6,,8,4B,,2.1,1.3,2,15,0.7,0,,,,
spring2022,saebo,8,saebo8,,2,1B,,2.4,2,2,30,0.7,0,,,,
spring2022,saebo,9,saebo9,,1,5B,,3.3,1.6,3,18,0.7,2,14,,,
spring2022,hjelle,3,hjelle3,,8,5B,,,,1,3,0.7,0,,,,
spring2022,hjelle,3,hjelle3,,18,2B,,,,1,5,0.7,0,,,,
spring2022,hjelle,3,hjelle3,,20,1C,,,,1,3,0.7,0,,,,
spring2022,hjelle,3,hjelle3,,23,1C,,,,1,6,0.7,0,,,,
spring2022,hjelle,3,hjelle3,,28,2C,,,,1,8,0.7,0,,,,
spring2022,hjelle,3,hjelle3,,32,3C,,1.3,1.9,2,20,0.7,1,7,,,
spring2022,hjelle,3,hjelle3,,43,2B,,,,1,5,0.7,0,,,,
spring2022,hjelle,5,hjelle5,,15,,,,,1,15,0.7,1,17.5,,,
spring2022,hjelle,5,hjelle5,,32,,,,,1,14,0.7,1,4.5,,,
spring2022,hjelle,7,hjelle7,,2,P,54,2.6,2.6,3,43,0.7,4,8,,,
spring2022,hjelle,7,hjelle7,,11,4E,,,,1,17,0.7,0,,,,
spring2022,hjelle,7,hjelle7,,13,3E,,3,2.8,2,27,0.7,2,9,,,
spring2022,hjelle,7,hjelle7,,19,5D,,,,1,22,0.7,3,7,,,
spring2022,hjelle,9,hjelle9,,14,4C,,,,1,10,0.7,0,,,,
spring2022,hjelle,9,hjelle9,,15,4C,,,,1,16,0.7,0,,,,
spring2022,hjelle,9,hjelle9,,26,4D,,,,1,6,0.7,0,,,,
spring2022,hjelle,10,hjelle10,,6,1D,,,,1,10,0.7,0,,,,
spring2022,ardal,6,ardal6,,4,4A,,,,1,12,0.7,0,,,,
spring2022,ardal,6,ardal6,,6,2B,,2.8,2.5,2,19,0.7,0,,,,
spring2022,ardal,6,ardal6,,7,3B,,,,1,11,0.7,1,7.5,,,
spring2022,ardal,6,ardal6,,17,4C,,,,1,7,0.7,0,,,,
spring2022,helin,3,helin3,,7,5D,,,,1,5,0.7,0,,,,
spring2022,helin,3,helin3,,13,4B,,,,1,5,0.7,0,,,,
spring2022,helin,3,helin3,,16,5B,,,,1,6,0.7,0,,,,
spring2022,helin,4,helin4,,6,3B,,,,1,8,0.7,0,,,,
spring2022,helin,4,helin4,,7,3B,,1.2,1.2,2,16,0.7,0,,,,
spring2022,helin,7,helin7,,11,3C,,,,1,10,0.7,2,2.4,,,
spring2022,helin,7,helin7,,21,4E,,1.5,1.4,2,17,0.7,0,,,,
spring2022,helin,8,helin8,,3,G,,,,1,27,0.7,1,5.5,,,
spring2022,smadalen,2,smadalen2,,5,1B,,,,1,6,0.7,0,,,,
spring2022,smadalen,5,smadalen5,,1,G,,2,1.5,3,26,0.7,2,2.2,,,
spring2022,smadalen,5,smadalen5,,3,G,,2.3,1.7,2,26,0.7,3,3,,,
spring2022,smadalen,5,smadalen5,,4,4B,,,,1,24,0.7,1,3,,,
spring2022,smadalen,5,smadalen5,,7,3D,,3.1,1.9,2,28,0.7,3,4,,,
spring2022,smadalen,5,smadalen5,,13,4D,,,,1,26,0.7,3,2.5,,,
spring2022,smadalen,6,smadalen6,,4,5B,,1.1,1.6,3,25,0.7,0,,,,
spring2022,smadalen,6,smadalen6,,13,1C,,1.5,2.2,3,33,0.7,1,5,,,
spring2022,smadalen,6,smadalen6,,17,1D,,2.8,1.3,4,44,0.7,3,3.4,,,
spring2022,bovra,1,bovra1,,20,4C,,,,1,5,0.7,0,,,,
spring2022,bovra,5,bovra5,,7,3B,,,,1,11,0.7,1,4,,,
spring2022,bovra,8,bovra8,,7,5D,,2,1.5,2,26,0.7,0,,,,
spring2022,spiterstulen,1,spiterstulen1,,5,1E,,,,1,7,0.7,0,,,,
spring2022,laerdal,5,laerdal5,,2,4A,,,,1,9,0.6,0,,,,
spring2022,laerdal,5,laerdal5,,5,4A,,,,1,7,0.6,0,,,,
spring2022,laerdal,5,laerdal5,,11,5A,,,,1,6,0.6,0,,,,
spring2022,saebo,2,saebo2,,7,1C,,,,1,3,0.6,1,13.5,,,
spring2022,saebo,3,saebo3,,2,P,,,,1,10,0.6,2,8.5,,,
spring2022,saebo,3,saebo3,,4,G,26,5,1.5,7,36,0.6,2,14,,,
spring2022,saebo,3,saebo3,,1,2A,,,,1,7,0.6,0,,,,
spring2022,saebo,3,saebo3,,4,5B,,,,1,7,0.6,0,,,,
spring2022,saebo,3,saebo3,,9,5C,,,,2,9,0.6,0,,,,
spring2022,saebo,3,saebo3,,10,5C,,,,2,9,0.6,0,,,,
spring2022,saebo,3,saebo3,,11,5D,,,,3,17,0.6,1,9.5,,,
spring2022,saebo,3,saebo3,,13,3B,,,,1,6,0.6,0,,,,
spring2022,saebo,4,saebo4,,4,G,28,,,1,10,0.6,0,,,,
spring2022,saebo,5,saebo5,,5,2B,,3.5,3.5,4,38,0.6,0,,,,
spring2022,saebo,6,saebo6,,17,5D,,,,1,12,0.6,0,,,,
spring2022,saebo,7,saebo7,,4,P,,,,1,11,0.6,1,12.5,,,
spring2022,saebo,10,saebo10,,5,2B,,,,1,5,0.6,3,18,,,
spring2022,saebo,10,saebo10,,7,3C,,,,1,9,0.6,0,,,,
spring2022,hjelle,3,hjelle3,,2,4A,,,,1,6,0.6,0,,,,
spring2022,hjelle,3,hjelle3,,17,2B,,,,1,8,0.6,0,,,,
spring2022,hjelle,3,hjelle3,,35,5C,,,,1,3,0.6,0,,,,
spring2022,hjelle,3,hjelle3,,44,2B,,,,1,6,0.6,0,,,,
spring2022,hjelle,4,hjelle4,,15,1D,,,,1,4,0.6,0,,,,
spring2022,hjelle,4,hjelle4,,16,2D,,,,1,4,0.6,0,,,,
spring2022,hjelle,4,hjelle4,,26,5E,,,,1,4,0.6,0,,,,
spring2022,hjelle,6,hjelle6,,11,2C,,,,1,4,0.6,0,,,,
spring2022,hjelle,7,hjelle7,,5,2C,,3.5,1.5,2,27,0.6,1,10,,,
spring2022,hjelle,7,hjelle7,,16,4E,,,,1,22,0.6,1,16.5,,,
spring2022,hjelle,9,hjelle9,,6,1B,,,,1,5,0.6,0,,,,
spring2022,hjelle,9,hjelle9,,12,4C,,1.6,1.1,2,1,0.6,0,,,,
spring2022,hjelle,9,hjelle9,,13,4C,,,,1,8,0.6,1,7,,,
spring2022,hjelle,9,hjelle9,,20,5C,,1.5,0.7,2,9,0.6,0,,,,
spring2022,hjelle,9,hjelle9,,27,4D,,,,1,3,0.6,0,,,,
spring2022,hjelle,9,hjelle9,,28,4D,,,,1,5,0.6,1,11,,,
spring2022,hjelle,10,hjelle10,,12,3E,,,,1,6,0.6,0,,,,
spring2022,ardal,6,ardal6,,11,3C,,,,1,8,0.6,1,11,,,
spring2022,ardal,6,ardal6,,25,1E,,,,1,7,0.6,0,,,,
spring2022,helin,1,helin1,,9,5E,,,,1,4,0.6,0,,,,
spring2022,helin,2,helin2,,1,1A,,,,1,9,0.6,0,,,,
spring2022,helin,3,helin3,,4,2D,,2.4,1.5,3,40,0.6,0,,,,
spring2022,helin,4,helin4,,17,4E,,2,1,2,12,0.6,0,,,,
spring2022,helin,6,helin6,,8,2C,,,,1,15,0.6,,,,,
spring2022,helin,6,helin6,,10,2C,,,,1,15,0.6,1,3.5,,,
spring2022,helin,6,helin6,,11,2C,,,,1,10,0.6,1,5,,,
spring2022,helin,7,helin7,,9,3C,,,,1,6,0.6,1,1.4,,,
spring2022,helin,7,helin7,,13,2D,,2.5,4,2,70,0.6,3,4.5,,,
spring2022,smadalen,2,smadalen2,,1,2A,,,,1,14,0.6,0,,,,
spring2022,smadalen,3,smadalen3,,1,2A,,4.3,3.5,7,58,0.6,7,7.5,,,
spring2022,smadalen,4,smadalen4,,5,2E,,,,1,13,0.6,0,,,,
spring2022,smadalen,5,smadalen5,,1,1A,,2.6,1.8,3,25,0.6,4,0.8,,,
spring2022,smadalen,5,smadalen5,,12,1C,,,,1,12,0.6,0,,,,
spring2022,bovra,1,bovra1,,32,4E,,,,1,5,0.6,0,,,,
spring2022,bovra,8,bovra8,,5,1E,,,,1,12,0.6,1,9.5,,,
spring2022,bovra,8,bovra8,,6,5D,,,,1,12,0.6,0,,,,
spring2022,spiterstulen,2,spiterstulen2,,2,2A,,,,1,12,0.6,,,,,
spring2022,spiterstulen,7,spiterstulen7,,1,G,,,,1,8,0.6,0,,,,
spring2022,spiterstulen,9,spiterstulen9,,4,G,,3.5,1.5,3,19,0.6,4,12,,,
spring2022,laerdal,4,laerdal4,,10,2D,,,,1,2,0.5,0,,,,
spring2022,laerdal,5,laerdal5,,1,4A,,,,1,8,0.5,0,,,,
spring2022,saebo,2,saebo2,,1,5A,,,,1,7,0.5,0,,,,
spring2022,saebo,3,saebo3,,5,5B,,,,1,9,0.5,0,,,,
spring2022,saebo,3,saebo3,,7,5B,,,,1,8,0.5,1,4.2,,,
spring2022,saebo,3,saebo3,,8,5C,,,,1,6,0.5,0,,,,
spring2022,saebo,3,saebo3,,12,4C,,,,7,44,0.5,0,,,,
spring2022,saebo,5,saebo5,,4,P,30,2,1.2,2,20,0.5,2,22,,,
spring2022,saebo,5,saebo5,,8,2C,,,,1,6,0.5,0,,,,
spring2022,saebo,5,saebo5,,12,2B,,1.6,1,2,16,0.5,0,,,,
spring2022,saebo,5,saebo5,,13,1A,,,,1,7,0.5,0,,,,
spring2022,hjelle,3,hjelle3,,9,5B,,,,1,3,0.5,0,,,,
spring2022,hjelle,3,hjelle3,,24,1C,,,,1,10,0.5,0,,,,
spring2022,hjelle,5,hjelle5,,14,,,,,1,9,0.5,1,8,,,
spring2022,hjelle,7,hjelle7,,15,4E,,,,1,18,0.5,1,6,,,
spring2022,hjelle,7,hjelle7,,33,3D,,,,1,7,0.5,0,,,,
spring2022,hjelle,9,hjelle9,,5,5B,,,,1,6,0.5,0,,,,
spring2022,hjelle,9,hjelle9,,9,3C,,,,1,5,0.5,0,,,,
spring2022,hjelle,9,hjelle9,,19,5C,,,,1,5,0.5,0,,,,
spring2022,ardal,6,ardal6,,14,4C,,,,1,8,0.5,0,,,,
spring2022,helin,4,helin4,,14,4D,,,,1,7,0.5,0,,,,
spring2022,smadalen,2,smadalen2,,6,1C,,,,1,6,0.5,0,,,,
spring2022,smadalen,5,smadalen5,,9,4E,,1.7,0.9,2,23,0.5,1,1,,,
spring2022,smadalen,6,smadalen6,,5,5C,,,,1,13,0.5,0,,,,
spring2022,bovra,1,bovra1,,24,3B,,,,1,5,0.5,1,3.5,,,
spring2022,laerdal,6,laerdal6,,5,2A,,,,1,6,0.4,0,,,,
spring2022,saebo,2,saebo2,,11,4E,,,,1,8,0.4,0,,,,
spring2022,saebo,3,saebo3,,17,5B,,,,1,5,0.4,0,,,,
spring2022,saebo,3,saebo3,,19,4B,,,,1,8,0.4,0,,,,
spring2022,saebo,4,saebo4,,3,P,,1.8,0.5,2,14,0.4,1,8,,,
spring2022,saebo,5,saebo5,,7,1C,,,,1,6,0.4,0,,,,
spring2022,saebo,5,saebo5,,9,3C,,1,0.8,2,12,0.4,0,,,,
spring2022,saebo,6,saebo6,,3,P,32,4.8,1,4,58,0.4,6,14,,,
spring2022,saebo,6,saebo6,,4,G,,1.5,0.8,2,20,0.4,1,9,,,
spring2022,saebo,10,saebo10,,4,P,,,,1,20,0.4,2,13.5,,,
spring2022,hjelle,3,hjelle3,,25,2C,,,,1,5,0.4,0,,,,
spring2022,hjelle,5,hjelle5,,4,,,,,1,18,0.4,2,12,,,
spring2022,hjelle,5,hjelle5,,31,,,,,1,18,0.4,2,8.5,,,
spring2022,hjelle,9,hjelle9,,18,4C,,,,1,4,0.4,0,,,,
spring2022,helin,3,helin3,,9,5E,,,,1,10,0.4,0,,,,
spring2022,helin,3,helin3,,15,5B,,,,1,7,0.4,0,,,,
spring2022,smadalen,2,smadalen2,,15,3D,,,,1,4,0.4,0,,,,
spring2022,smadalen,6,smadalen6,,6,5C,,,,1,5,0.4,0,,,,
spring2022,smadalen,8,smadalen8,,2,1C,,,,1,8,0.4,0,,,,
spring2022,bovra,1,bovra1,,25,1C,,,,1,4,0.4,0,,,,
spring2022,spiterstulen,10,spiterstulen10,,11,4B,,,,1,3,0.4,0,,,,
spring2022,saebo,3,saebo3,,6,5B,,,,1,5,0.3,0,,,,
spring2022,hjelle,3,hjelle3,,21,1C,,,,1,5,0.3,0,,,,
spring2022,hjelle,3,hjelle3,,26,2C,,,,1,4,0.3,0,,,,
spring2022,hjelle,3,hjelle3,,37,5C,,,,1,4,0.3,0,,,,
spring2022,hjelle,5,hjelle5,,34,,,,,1,5,0.3,0,,,,
spring2022,hjelle,9,hjelle9,,17,4C,,,,1,10,0.3,0,,,,
spring2022,hjelle,9,hjelle9,,39,4C,,,,1,3,0.3,0,,,,
spring2022,smadalen,6,smadalen6,,7,5C,,,,1,8,0.3,0,,,,
spring2022,smadalen,6,smadalen6,,8,5C,,,,1,6,0.3,0,,,,
spring2022,smadalen,6,smadalen6,,9,3B,,0.7,0.5,2,9,0.3,0,,,,
spring2022,hjelle,3,hjelle3,,22,1C,,,,1,5,0.2,0,,,,
spring2022,hjelle,3,hjelle3,,40,1D,,,,1,6,0.2,0,,,,
spring2022,hjelle,3,hjelle3,,45,2C,,,,1,4,0.2,0,,,,
spring2022,hjelle,7,hjelle7,,36,5E,,,,1,2,0.2,0,,,,
spring2022,hjelle,7,hjelle7,,37,5E,,,,1,2,0.2,0,,,,
spring2022,hjelle,7,hjelle7,,38,5E,,,,1,2,0.2,0,,,,
spring2022,hjelle,7,hjelle7,,41,4A,,,,1,2,0.2,0,,,,
spring2022,hjelle,7,hjelle7,,42,4A,,,,1,2,0.2,0,,,,
spring2022,hjelle,7,hjelle7,,43,4A,,,,1,2,0.2,0,,,,
spring2022,hjelle,7,hjelle7,,44,4A,,,,1,2,0.2,0,,,,
spring2022,hjelle,7,hjelle7,,45,3A,,,,1,2,0.2,0,,,,
spring2022,laerdal,4,laerdal4,,14,3C,,,,0,0,0,1,21.5,,,
spring2022,saebo,1,saebo1,,4,1E,,,,0,0,0,1,23,,,
spring2022,saebo,1,saebo1,,1,G,,,,1,0,,2,24,,,
spring2022,saebo,1,saebo1,,2,P,,,,1,0,,1,18,,,
spring2022,saebo,7,saebo7,,2,2C,,,,0,0,,2,22.5,,,
spring2022,hjelle,7,hjelle7,,20,,,,,,,,,,,,
spring2022,hjelle,7,hjelle7,,21,,,,,,,,,,,,
spring2022,hjelle,7,hjelle7,,22,,,,,,,,,,,,
spring2022,hjelle,7,hjelle7,,23,,,,,,,,,,,,
spring2022,hjelle,7,hjelle7,,35,,,,,,,,,,,,
spring2022,ardal,1,ardal1,,2,2C,,,,0,0,,7,23,,,
