"pop2","pH","humidity_.","organic.matter_.","Al","Ca","Fe","K","Mg","Mn","P","S","Si","Zn","PO3","NO3","NH4","Na","Cl","depth","method"
"pop9",NA,NA,NA,252157.19,93000.77,165685.81,31731.27,54981.34,4673.73,16399.71,21326.68,16957.65,7538.86,NA,NA,NA,6753.3,NA,"0-10","destruction"
"pop10",NA,NA,NA,585381.72,385938.19,590390.66,77706.84,314883.73,20025.04,38999.99,75803.17,26683.31,109201.33,NA,NA,NA,15193.9,NA,"0-10","destruction"
"pop11",NA,NA,NA,924305.21,615196.83,458154.59,129323.45,389150.35,23178.62,27953.21,12611.22,24034.47,1729.76,NA,NA,NA,24119.63,NA,"0-10","destruction"
"pop12",NA,NA,NA,71653.75,51066.35,73017.86,2839.33,5583.95,476.57,6676.43,10468.12,869.54,465.03,NA,NA,NA,2528.69,NA,"0-10","destruction"
"pop13",NA,NA,NA,323770.19,78625.77,101604.98,21239.69,34867.48,1301.86,15638.87,19001,9314.56,667.95,NA,NA,NA,12347.33,NA,"0-10","destruction"
"pop14",NA,NA,NA,23685.31,125088.67,24568.36,2888.05,7364.82,791.55,8318.89,39665.69,1624.72,117.67,NA,NA,NA,3859.22,NA,"0-10","destruction"
"pop15",NA,NA,NA,229318.77,79391.28,100489.29,21625.41,44356.27,2697.37,16519.55,19053.57,11416.9,566.98,NA,NA,NA,9974.12,NA,"0-10","destruction"
"pop16",NA,NA,NA,137594.06,21479.56,52205.3,10863.99,16371.7,457.48,13711.07,6985.67,6839.92,252.79,NA,NA,NA,8944.21,NA,"0-10","destruction"
"pop17",NA,NA,NA,479300.15,372419.47,304166.3,70344.4,401397.73,31702.01,17800.53,9556.96,19660.85,1311.83,NA,NA,NA,10031.33,NA,"0-10","destruction"
"pop18",NA,NA,NA,245534.19,42761.56,168016.22,17328.73,28537.93,5386.97,17027.73,9984.57,5661.12,346.43,NA,NA,NA,9407.85,NA,"0-10","destruction"
"pop19",NA,NA,NA,371153.32,68738.6,189043.32,22848.22,56794.82,4389.38,18372.02,8886.22,15734.67,539.95,NA,NA,NA,9965.32,NA,"0-10","destruction"
"pop5",NA,NA,NA,1197135.33,162934.48,531140.22,154663.48,230823.02,23422.81,28249.81,22915.35,16512.58,1402.27,NA,NA,NA,17459.63,NA,"20-30","destruction"
